İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
Sacco e Vanzetti – Sacco ve Vanzetti,125 Dakika,1971,Fransa  İtalya,Giuliano Montaldo,Biyografi  Dram  Suç,Sacco and Vanzetti
The Southerner – Güneyli,92 Dakika,1945,ABD,Jean Renoir,Dram,The Southerner
Dead Again – Yeniden Ölmek,107 Dakika,1991,ABD,Kenneth Branagh,Dram  Gerilim  Gizem  Suç,Dead Again
Unmei Janai Hito,98 Dakika,2005,Japonya,Kenji Uchida,Dram  Komedi  Romantik,A Stranger of Mine
Djamilah,123 Dakika,1958,Mısır,Youssef Chahine,Dram  Savaş  Tarih,Jamila
40 Quadratmeter Deutschland – 40 Metrekare Almanya,80 Dakika,1986,Almanya,Tevfik Başer,Dram,40 qm Deutschland
Clair de Femme – Kadının Işığı,98 Dakika,1979,Fransa,Costa-Gavras,Dram,Womanlight
Hölmö Nuori Sydän,102 Dakika,2018,Finlandiya  Hollanda  İsveç,Selma Vilhunen,Dram,Stupid Young Heart
Le Chant Des Mariees – Düğün Şarkısı,100 Dakika,2008,Fransa  Tunus,Karin Albou,Dram  Savaş,The Wedding Song
J’accuse – Suçluyorum!,165 Dakika,1919,Fransa,Abel Gance,Dram  Korku  Savaş,I Accuse
Le Chat,86 Dakika,1971,Fransa  İtalya,Pierre Granier-Deferre,Dram,Le Chat
Klip,102 Dakika,2012,Sırbistan,Maja Miloš,Dram,Clip
The Serpent and the Rainbow – Yılan ve Gökkuşağı,98 Dakika,1988,ABD,Wes Craven,Fantastik  Korku,The Serpent and the Rainbow
Cobra Verde – Yeşil Kobra,111 Dakika,1987,Almanya  Gana,Werner Herzog,Dram  Macera,Cobra Verde
Fitzcarraldo,158 Dakika,1982,Almanya  Peru,Werner Herzog,Dram  Macera,Fitzcarraldo
Aguirre der Zorn Gottes – Aguirre Tanrının Gazabı,95 Dakika,1972,Almanya  Meksika  Peru,Werner Herzog,Aksiyon  Biyografi  Dram  Macera  Tarih,Aguirre the Wrath of God
Meduzot – Denizanası,78 Dakika,2007,Fransa  İsrail,Etgar Keret,Dram,Jellyfish
Les Chansons D’amour – Aşk Şarkısı,91 Dakika,2007,Fransa,Christophe Honoré,Dram  Müzik  Romantik,Love Songs
No Such Thing – Öyle Bir Şey Yok,102 Dakika,2001,ABD  İzlanda,Hal Hartley,Dram  Fantastik  Komedi,Monster
L’emploi Du Temps – İş Yok Zaman Çok,134 Dakika,2001,Fransa,Laurent Cantet,Dram,Time Out
Banditi a Orgosolo,95 Dakika,1961,İtalya,Vittorio De Seta,Dram,Bandits of Orgosolo
Hawaii Oslo,125 Dakika,2004,Danimarka  İsveç  Norveç,Erik Poppe,Dram,Hawaii Oslo
Yossi & Jagger,65 Dakika,2002,İsrail,Eytan Fox,Dram  Romantik  Savaş,Yossi and Jagger
Rusalka – Deniz Kızı,115 Dakika,2007,Rusya,Anna Melikyan,Dram  Fantastik  Komedi,Mermaid
Flight of the Navigator – Uçan Daire,90 Dakika,1986,ABD,Randal Kleiser,Aile  Bilim Kurgu  Komedi  Macera,Flight of the Navigator
Yoru No Onnatachi – Gecenin Kadınları,75 Dakika,1948,Japonya,Kenji Mizoguchi,Dram,Women of the Night
Die Bleierne Zeit – Kurşun Yıllar,106 Dakika,1981,Almanya,Margarethe von Trotta,Dram,Marianne and Juliane
Korkoro – Özgürlük,111 Dakika,2009,Fransa,Tony Gatlif,Dram  Savaş,Freedom
Zombi 2 – Yüzde 99 Ölüm,91 Dakika,1979,İtalya,Lucio Fulci,Korku,Zombie 2  The Dead are Among Us
Meleğin Sırları,120 Dakika,2008,ABD  Türkiye,Aclan Büyüktürkoğlu,Dram,Broken Angel
Une Femme Est Une Femme – Kadın Kadındır,85 Dakika,1961,Fransa  İtalya,Jean-Luc Godard,Dram  Komedi  Romantik,A Woman Is a Woman
Leningrad Cowboys Meet Moses,94 Dakika,1994,Almanya  Finlandiya  Fransa,Aki Kaurismäki,Komedi  Macera  Müzik,Leningrad Cowboys Meet Moses
Leningrad Cowboys Go America – Leningrad Kovboyları Amerika’ya,79 Dakika,1989,Finlandiya  İsveç,Aki Kaurismäki,Komedi  Müzik,Leningrad Cowboys Go America
Bulantı,112 Dakika,2015,Türkiye,Zeki Demirkubuz,Dram,Nausea
Hamlet Liikemaailmassa – Hamlet İş Dünyasında,89 Dakika,1987,Finlandiya,Aki Kaurismäki,Dram  Komedi  Romantik,Hamlet Goes Business
Depuis qu’Otar est Parti… – Otar Gittiğinden Beri,103 Dakika,2003,Belçika  Fransa  Gürcistan,Julie Bertuccelli,Dram,Since Otar Left
Juha,78 Dakika,1999,Almanya  Finlandiya  Fransa,Aki Kaurismäki,Dram  Komedi  Romantik,Juha
Oyû-sama,94 Dakika,1951,Japonya,Kenji Mizoguchi,Dram,Miss Oyu
The Thief of Bagdad – Bağdat Hırsızı,155 Dakika,1924,ABD,Raoul Walsh,Aile  Fantastik  Macera  Romantik,The Thief of Bagdad
Naniwa Ereji,71 Dakika,1936,Japonya,Kenji Mizoguchi,Dram  Komedi,Osaka Elegy
4 Tage im Mai – Mayıs’ta 4 Gün,97 Dakika,2011,Almanya  Rusya  Ukrayna,Achim von Borries,Dram  Savaş,4 Days in May
The Thief of Bagdad – Bağdat Hırsızı,106 Dakika,1940,Birleşik Krallık,Ludwig Berger,Aile  Fantastik  Macera  Romantik,The Thief of Bagdad
Akasen Chitai,87 Dakika,1956,Japonya,Kenji Mizoguchi,Dram,Street of Shame
Unfaithfully Yours,105 Dakika,1948,ABD,Preston Sturges,Gerilim  Komedi  Müzik  Romantik,Unfaithfully Yours
Maynila: Sa Mga Kuko Ng Liwanag,125 Dakika,1975,Filipinler,Lino Brocka,Dram  Gizem,Manila in the Claws of Light
Kirschblüten – Hanami – Kiraz Çiçekleri,127 Dakika,2008,Almanya,Doris Dörrie,Dram  Romantik,Cherry Blossoms
Zangiku Monogatari – Son Krizantemlerin Öyküsü,143 Dakika,1939,Japonya,Kenji Mizoguchi,Dram  Romantik,The Story of the Last Chrysanthemum
The Final Countdown – Beklenmeyen Baskın,103 Dakika,1980,ABD,Don Taylor,Aksiyon  Bilim Kurgu,The Final Countdown
Viva La Muerte – Yaşasın Ölüm,90 Dakika,1971,Fransa  Tunus,Fernando Arrabal,Dram  Savaş,Long Live Death
Das Cabinet des Dr. Caligari – Dr. Caligari’nin Muayenehanesi,76 Dakika,1920,Almanya,Robert Wiene,Fantastik  Gerilim  Gizem  Korku,The Cabinet of Dr. Caligari
La Hora De Los Hornos – Fırınların Saati,260 Dakika,1968,Arjantin,Fernando E. Solanas,Belgesel,The Hour of the Furnaces
Memorias Del Subdesarrollo – Az Gelişmişliğin Anıları,97 Dakika,1968,Küba,Tomás Gutiérrez Alea,Dram,Memories of Underdevelopment
Saute Ma Ville – Patlat Şehri,13 Dakika,1968,Belçika,Chantal Akerman,Dram  Kısa Film,Blow Up My Town
Asfour Stah – Çatıların Çocuğu,98 Dakika,1990,Fransa  İtalya  Tunus,Férid Boughedir,Dram  Komedi,Halfaouine  Boy of the Terraces
Yossi,84 Dakika,2012,İsrail,Eytan Fox,Dram  Romantik,Yossi
Ai No Borei – Duygu İmparatorluğu,105 Dakika,1978,Fransa  Japonya,Nagisa Ōshima,Dram  Korku  Romantik,Empire of Passion
Shooting Fish – Oltada Balık Çantada Keklik,109 Dakika,1997,Birleşik Krallık,Stefan Schwartz,Komedi  Romantik  Suç,Shooting Fish
Hail the Conquering Hero – Yaşasın Kahramanlar,101 Dakika,1944,ABD,Preston Sturges,Komedi  Savaş,Hail the Conquering Hero
Chce Sie Zyc – Her Şeye Rağmen,112 Dakika,2013,Polonya,Maciej Pieprzyca,Dram,Life Feels Good
Mais Ne Nous Delivrez Pas Du Mal,102 Dakika,1971,Fransa,Joël Séria,Dram  Korku,Don't Deliver Us from Evil
Tanin No Kao – Bir Başkasının Yüzü,122 Dakika,1966,Japonya,Hiroshi Teshigahara,Bilim Kurgu  Dram,The Face of Another
The Doom Generation – Kıyamet Kuşağı,83 Dakika,1995,ABD  Fransa,Gregg Araki,Dram  Komedi  Suç,The Doom Generation
Chikamatsu Monogatari,102 Dakika,1954,Japonya,Kenji Mizoguchi,Dram  Gerilim  Romantik  Tarih,A Story from Chikamatsu
Saikaku ichidai Onna – Oharu’nun Hayatı,148 Dakika,1952,Japonya,Kenji Mizoguchi,Dram,The Life of Oharu
D’Est,107 Dakika,1993,Belçika  Fransa  Portekiz,Chantal Akerman,Belgesel,From The East
Xi Zao,92 Dakika,1999,Çin,Zhang Yang,Dram  Komedi,Shower
Nazım’ın Küba Seyahati,68 Dakika,2013,Türkiye,Çağrı Kınıkoğlu,Belgesel,El Viaje de Nâzım a Cuba
L’argent De Poche – Cep Harçlığı,104 Dakika,1976,Fransa,François Truffaut,Dram  Komedi,Small Change
Otoshiana – Görünmez Tehlike,97 Dakika,1962,Japonya,Hiroshi Teshigahara,Dram  Fantastik  Suç,Pitfall
Camille Claudel – Bir Kadın,175 Dakika,1988,Fransa,Bruno Nuytten,Biyografi  Dram  Romantik  Tarih,Camille Claudel
Born to Kill – Öldürmek Için Doğmuş,92 Dakika,1947,ABD,Robert Wise,Dram  Gerilim  Kara Film  Suç,Born to Kill
Heaven Can Wait – Cennet Bekleyebilir,101 Dakika,1978,ABD,Buck Henry,Fantastik  Komedi  Romantik  Spor,Heaven Can Wait
Le Bruit Des Glaçons – Buz Sesi,87 Dakika,2010,Fransa,Bertrand Blier,Dram  Komedi,The Clink of Ice
Toute Une Nuit – Bütün Bir Gece,90 Dakika,1982,Belçika  Fransa  Hollanda  Kanada,Chantal Akerman,Dram,A Whole Night
La Fille de L’eau – Kader Girdabı,71 Dakika,1925,Fransa,Jean Renoir,Dram  Romantik,Whirlpool of Fate
Groundhog Day – Bugün Aslında Dündü,101 Dakika,1993,ABD,Harold Ramis,Fantastik  Komedi  Romantik,Groundhog Day
