İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
Seom – Ada,90 Dakika,2000,Güney Kore,Kim Ki-duk,Dram  Gerilim,The Isle
Le Cercle Rouge – Ateş Çemberi,140 Dakika,1970,Fransa  İtalya,Jean-Pierre Melville,Dram  Gerilim  Suç,Le Cercle Rouge
Le Déclin de l’empire Américain – Amerikan İmparatorluğu’nun Çöküşü,101 Dakika,1986,Kanada,Denys Arcand,Dram  Komedi,The Decline of the American Empire
De Hel Van Tanger,105 Dakika,2006,Belçika,Frank van Mechelen,Dram,De Hel Van Tanger
Ariel,73 Dakika,1988,Finlandiya,Aki Kaurismäki,Komedi  Romantik  Suç,Ariel
Varjoja Paratiisissa – Cennetteki Gölgeler,76 Dakika,1986,Finlandiya,Aki Kaurismäki,Dram  Komedi  Romantik,Shadows in Paradise
Tyrannosaur,92 Dakika,2011,Birleşik Krallık,Paddy Considine,Dram,Tyrannosaur
Trouble Every Day – Her Gün Başka Bir Bela,101 Dakika,2001,Almanya  Fransa  Japonya,Claire Denis,Dram  Gerilim  Korku,Trouble Every Day
Pieta – Acı,104 Dakika,2012,Güney Kore,Kim Ki-duk,Dram  Suç,Pieta
Felon – Suç Çıkmazı,104 Dakika,2008,ABD,Ric Roman Waugh,Dram  Suç,Felon
The Sessions – Aşk Seansları,95 Dakika,2012,ABD,Ben Lewin,Biyografi  Dram  Komedi  Romantik,The Sessions
Session 9 – Son Seans,100 Dakika,2001,ABD,Brad Anderson,Gizem  Korku,Session 9
Su-sang-han geu-nyeo,124 Dakika,2014,Güney Kore,Hwang Dong-hyuk,Fantastik  Komedi  Müzik,Miss Granny
Candy,116 Dakika,2006,Avustralya,Neil Armfield,Dram  Romantik,Candy
İstanbul Kanatlarımın Altında,107 Dakika,1996,Türkiye,Adı: İstanbul Kanatlarımın Altında,Dram  Romantik,Dram  Macera  Romantik  Tarih
Memleket Meselesi,101 Dakika,2010,Türkiye,İsa Yıldız,Dram  Komedi,Memleket Meselesi
Tut Sözünü,95 Dakika,2014,Türkiye,Oğuz Çelik,Fantastik  Komedi,Tut Sözünü
Missing: Sarajin Yeoja,100 Dakika,2016,Güney Kore,Lee Eon-hee,Dram  Gerilim  Gizem,Missing  Sarajin Yeoja
Isle of Dogs – Köpek Adası,101 Dakika,2018,ABD  Almanya,Wes Anderson,Animasyon  Dram  Fantastik  Komedi  Macera,Isle of Dogs
Crash – Çarpışma,100 Dakika,1996,ABD  Almanya,David Cronenberg,Dram,Crash
Sang Sattawat – Yüzyılın Işığı,105 Dakika,2007,Avusturya  Fransa  Tayland,Apichatpong Weerasethakul,Dram,Syndromes And A Century
La Terra Trema – Yer Sarsılıyor,160 Dakika,1948,İtalya,Luchino Visconti,Dram,La Terra Trema
The Darjeeling Limited – Küs Kardeşler Limited Şirketi,91 Dakika,2007,ABD,Wes Anderson,Dram  Komedi  Macera,The Darjeeling Limited
Brazil,132 Dakika,1985,ABD  Birleşik Krallık,Terry Gilliam,Bilim Kurgu  Dram,Brezilya
Rabbit Hole – Mutluluğun Peşinde,91 Dakika,2010,ABD,John Cameron Mitchell,Dram,Rabbit Hole
Sır Çocukları,110 Dakika,2002,Türkiye,Aydın Sayman,Dram,Sır Çocukları
Carol,118 Dakika,2015,ABD  Birleşik Krallık,Todd Haynes,Dram  Romantik,Carol
I Daniel Blake – Ben Daniel Blake,100 Dakika,2016,Belçika  Birleşik Krallık  Fransa,Ken Loach,Dram,I Daniel Blake
Barry Lyndon,185 Dakika,1975,ABD  Birleşik Krallık,Stanley Kubrick,Dram  Macera  Savaş  Tarih,Barry Lyndon
DOA: Dead or Alive – Ölü ya da Diri,87 Dakika,2006,ABD  Almanya  Birleşik Krallık,Corey Yuen,Aksiyon  Macera,DOA  Dead or Alive
Mr. Nobody – Bay Hiçkimse,141 Dakika,2009,Almanya  Belçika  Fransa  Kanada,Jaco Van Dormael,Bilim Kurgu  Dram  Fantastik  Romantik,Mr. Nobody
Arif v 216,125 Dakika,2018,Türkiye,Kıvanç Baruönü,Bilim Kurgu  Komedi,Arif V 216
Bienvenue Chez Les Ch’tis – Tayinim Çıktı,106 Dakika,2008,Fransa,Dany Boon,Komedi  Romantik,Welcome to the Land of Shtis
Dark Water – Karanlık Su,105 Dakika,2005,ABD,Walter Salles,Dram  Gerilim  Korku,Dark Water
Tau Ming Chong – Savaş Kralları,126 Dakika,2007,Çin  Hong Kong,Peter Chan,Aksiyon  Dram  Romantik  Savaş  Tarih,The Warlords
Tau,97 Dakika,2018,ABD,Federico D'Alessandro,Bilim Kurgu  Gerilim,Tau
L’ordre Et La Morale – İsyan,136 Dakika,2011,Fransa  Yeni Kaledonya,Mathieu Kassovitz,Aksiyon  Dram  Tarih,Rebellion
Le Fantôme de la Liberté – Özgürlük Hayaleti,104 Dakika,1974,Fransa  İtalya,Luis Buñuel,Komedi,The Phantom of Liberty
Congorama,105 Dakika,2006,Belçika  Fransa  Kanada,Philippe Falardeau,Dram  Komedi,Congorama
Good Kids,86 Dakika,2016,ABD,Chris Mccoy,Komedi,Good Kids
Kids,91 Dakika,1995,ABD,Larry Clark,Dram,Kids
Il Capitale Umano – İnsan Sermayesi,111 Dakika,2014,İtalya,Paolo Virzì,Dram,Human Capital
O Som ao Redor – Komşu Sesler,131 Dakika,2012,Brezilya,Kleber Mendonça Filho,Dram  Gerilim,Neighboring Sounds
Song to Song,129 Dakika,2017,ABD,Terrence Malick,Dram  Müzik  Romantik,Song to Song
Central Intelligence – Merkezi İstihbarat,107 Dakika,2016,ABD,Rawson Marshall Thurber,Aksiyon  Komedi  Suç,Central Intelligence
Circle – Çember,87 Dakika,2015,ABD,Aaron Hann,Bilim Kurgu  Dram  Gerilim  Gizem  Korku,Circle
House at the End of the Street – Sokağın Sonundaki Ev,101 Dakika,2012,ABD,Mark Tonderai,Dram  Gerilim  Korku,House at the End of the Street
Shut In – İçeride,91 Dakika,2016,Fransa  Kanada,Farren Blackburn,Dram  Gerilim  Korku,Shut In
Üvegtigris,100 Dakika,2001,Macaristan,Iván Kapitány,Komedi,Üvegtigris
Shut In – Davetsiz Misafir,90 Dakika,2016,ABD,Adam Schindler,Dram  Gerilim  Korku,Intruders
La Prima Cosa Bella – Gördüğüm En Güzel Kadın,122 Dakika,2010,İtalya,Paolo Virzì,Dram  Komedi,The First Beautiful Thing
Fanny och Alexander – Fanny ve Alexander,188 Dakika,1982,Almanya  Fransa  İsveç,Ingmar Bergman,Dram,Fanny and Alexander
Apocalypto – Apokalipto,139 Dakika,2006,ABD,Mel Gibson,Aksiyon  Dram  Gerilim  Macera,Apocalypto
Maya,121 Dakika,2015,Hindistan,Ashwin Saravanan,Gerilim  Korku,Maya
Ultimo Tango a Parigi – Paris’te Son Tango,129 Dakika,1972,ABD  Fransa  İtalya,Bernardo Bertolucci,Dram  Romantik,Last Tango in Paris
Den Brysomme Mannen – Sorun Yaratan Adam,95 Dakika,2006,İzlanda  Norveç,Jens Lien,Dram  Fantastik  Gizem  Komedi,The Bothersome Man
Akira,124 Dakika,1988,ABD,Katsuhiro Otomo,Aksiyon  Animasyon  Bilim Kurgu  Dram  Gerilim,Akira
A History of Violence – Şiddetin Tarihçesi,96 Dakika,2005,ABD  Almanya  Kanada,David Cronenberg,Dram  Gerilim,A History of Violence
Karılar Koğuşu,146 Dakika,1989,Türkiye,Halit Refiğ,Dram,Karılar Koğuşu
The Dreamers – Düşler Tutkular ve Suçlar,115 Dakika,2003,Birleşik Krallık  Fransa  İtalya,Bernardo Bertolucci,Dram  Romantik,The Dreamers
The Island – Ada,136 Dakika,2005,ABD,Michael Bay,Aksiyon  Bilim Kurgu  Gerilim  Macera  Romantik,The Island
Ostrov,112 Dakika,2006,Rusya,Pavel Lungin,Dram,The Island
Week End – Haftasonu,105 Dakika,1967,Fransa,Jean-Luc Godard,Dram  Komedi  Macera,Week End
Weekend – Hafta Sonu,97 Dakika,2011,Birleşik Krallık,Andrew Haigh,Dram  Romantik,Weekend
Attila Marcel,106 Dakika,2013,Fransa,Sylvain Chomet,Komedi  Müzik,Attila Marcel
A Comédia de Deus – Bir Tanrı Komedisi,170 Dakika,1995,Danimarka  Fransa  İtalya  Portekiz,João César Monteiro,Dram  Komedi,God's Comedy
Nuovo Cinema Paradiso – Cennet Sineması,155 Dakika,1988,İtalya,Giuseppe Tornatore,Dram,Nuovo Cinema Paradiso
Yat Nim Mou Ming,101 Dakika,2016,Hong Kong,Chun Wong,Dram,Mad World
Alone in Berlin,103 Dakika,2016,Almanya  Birleşik Krallık  Fransa,Vincent Pérez,Dram,Alone in Berlin
Hours – Yaşam Savaşı,97 Dakika,2013,ABD,Eric Heisserer,Dram  Gerilim,Hours
Diarios de Motocicleta – Motosiklet Günlüğü,126 Dakika,2004,ABD  Almanya  Arjantin  Birleşik Krallık  Brezilya  Fransa  Peru  Şili,Walter Salles,Biyografi  Dram  Macera,The Motorcyle Diaries
The Last Castle – Son Kale,131 Dakika,2001,ABD,Rod Lurie,Aksiyon  Dram  Gerilim,The Last Castle
The Drop – Kirli Para,106 Dakika,2014,ABD,Michaël R. Roskam,Dram  Suç,The Drop
Bronson,92 Dakika,2008,Birleşik Krallık,Nicolas Winding Refn,Aksiyon  Biyografi  Dram  Suç,Bronson
You Will Meet a Tall Dark Stranger – Uzun Boylu Esmer Adam,98 Dakika,2010,ABD  İspanya,Woody Allen,Dram  Komedi  Romantik,You Will Meet a Tall Dark Stranger
Mistress America,84 Dakika,2015,ABD  Brezilya,Noah Baumbach,Dram  Komedi,Mistress America
Donnie Darko – Karanlık Yolculuk,113 Dakika,2001,ABD,Richard Kelly,Bilim Kurgu  Dram  Gerilim,Donnie Darko
Lilja 4-Ever – Daima Lilya,109 Dakika,2002,Danimarka  İsveç,Lukas Moodysson,Dram  Suç,Lilja 4-Ever
L’insulte – Hakaret,112 Dakika,2017,Fransa  Lübnan,Ziad Doueiri,Dram  Gerilim,The Insult
The Edge – İhanet,117 Dakika,1997,ABD,Lee Tamahori,Aksiyon  Dram  Gerilim  Macera,The Edge
On the Edge – Yaşamın Kıyısında,85 Dakika,2001,İrlanda,John Carney,Dram,On the Edge
Syostry – Kız Kardeşler,83 Dakika,2001,Rusya,Sergei Bodrov Jr.,Dram  Suç,Sisters
Aloys,91 Dakika,2016,Fransa  İsviçre,Tobias Nölle,Bilim Kurgu  Dram  Fantastik,Aloys
The Bachelors – Bekarlar,99 Dakika,2017,ABD,Kurt Voelker,Dram  Komedi,The Bachelors
The China Syndrome – Dünyanın Kaderi,122 Dakika,1979,ABD,James Bridges,Dram  Gerilim,The China Syndrome
Zhit,119 Dakika,2012,Rusya,Vasiliy Sigarev,Dram,Living
Wasabi,94 Dakika,2001,Fransa,Gérard Krawczyk,Aksiyon  Dram  Gerilim  Komedi  Suç,Wasabi
Surga Yang Tak Dirindukan 2,121 Dakika,2017,Endonezya,Hanung Bramantyo,Dram,Surga Yang Tak Dirindukan 2
Dodgeball: A True Underdog Story – Yakar Top,92 Dakika,2004,ABD  Almanya,Rawson Marshall Thurber,Komedi  Spor,DodgeBall  A True Underdog Story
Wonder Boys – Harika Çocuklar,107 Dakika,2000,ABD  Almanya  Birleşik Krallık  Japonya,Curtis Hanson,Dram  Komedi,Wonder Boys
Va Vis Et Deviens – Bir Şans Daha,120 Dakika,2005,Belçika  Fransa  İsrail  İtalya,Radu Mihăileanu,Dram,Live and Become
Sweetwater,95 Dakika,2013,ABD,Logan Miller,Gerilim  Western,Sweetwater
The Limits of Control – Kontrol Limitleri,116 Dakika,2009,ABD  Japonya,Jim Jarmusch,Dram  Gerilim  Gizem  Suç,The Limits of Control
Le Silence De Lorna – Lorna’nın Sessizliği,105 Dakika,2008,Almanya  Belçika  Fransa  İtalya,Jean-Pierre Dardenne,Dram,Lorna's Silence
Kontroll,105 Dakika,2003,Macaristan,Nimród Antal,Dram  Gerilim  Komedi  Romantik  Suç,Kontroll
O Thiasos – Kumpanya,230 Dakika,1975,Yunanistan,Theo Angelopoulos,Dram  Müzik  Savaş  Tarih,The Travelling Players
Thoroughbreds,92 Dakika,2017,ABD,Cory Finley,Dram  Gerilim  Komedi  Suç,Thoroughbreds
Karanlıkta Uyananlar,114 Dakika,1964,Türkiye,Ertem Göreç,Dram,Karanlıkta Uyananlar
Animal Factory – Hayvan Fabrikası,94 Dakika,2000,ABD,Steve Buscemi,Dram  Suç,Animal Factory
Gruz 200,89 Dakika,2007,Rusya,Alexey Balabanov,Dram  Gerilim,Cargo 200
Tanna,104 Dakika,2015,Avustralya  Vanuatu,Bentley Dean,Dram  Macera  Romantik,Tanna
Margin Call – Oyunun Sonu,107 Dakika,2011,ABD,J. C. Chandor,Dram  Gerilim,Margin Call
Twelve Monkeys – 12 Maymun,129 Dakika,1995,ABD,Terry Gilliam,Bilim Kurgu  Gerilim  Gizem,Twelve Monkeys
To Vlemma Tou Odyssea – Ulis’in Bakışı,174 Dakika,1995,Almanya  Arnavutluk  Birleşik Krallık  Bosna Hersek  Fransa  İtalya  Romanya  Yugoslavya  Yunanistan,Theo Angelopoulos,Dram  Savaş,Ulysses Gaze
Eskici ve Oğulları,97 Dakika,1990,Türkiye,Şahin Gök,Dram,Eskici Ve Oğulları
Son Cellat,92 Dakika,2008,Türkiye,Şahin Gök,Dram,Son Cellat
The Gods Must Be Crazy – Tanrılar Çıldırmış Olmalı,109 Dakika,1980,Botsvana  Güney Afrika,Jamie Uys,Komedi,The Gods Must Be Crazy
The Hangover Part III – Felekten Bir Gece 3,100 Dakika,2013,ABD,Todd Phillips,Komedi  Suç,The Hangover Part III
The Hangover Part II – Felekten Bir Gece Daha,102 Dakika,2011,ABD,Todd Phillips,Gizem  Komedi,The Hangover Part II
The Hangover – Felekten Bir Gece,100 Dakika,2009,ABD  Almanya,Todd Phillips,Komedi,The Hangover
The Reader – Okuyucu,124 Dakika,2008,ABD  Almanya,Stephen Daldry,Dram  Romantik,The Reader
Micmacs a Tire-Larigot,105 Dakika,2009,Fransa,Jean-Pierre Jeunet,Aksiyon  Komedi  Suç,Micmacs
Eagle vs Shark,88 Dakika,2007,Yeni Zelanda,Taika Waititi,Komedi  Romantik,Eagle vs Shark
The Great Mouse Detective – Muhteşem Fare Dedektif,74 Dakika,1986,ABD,David Michener,Aile  Animasyon  Gizem  Macera  Müzik,The Great Mouse Detective
Scoop,96 Dakika,2006,Birleşik Krallık,Woody Allen,Gizem  Komedi  Suç,Scoop
The Life of David Gale – Ölümle Yaşam Arasında,130 Dakika,2003,ABD  Almanya  Birleşik Krallık,Alan Parker,Dram  Gerilim  Suç,The Life of David Gale
Music Box – Müzik Kutusu,124 Dakika,1989,ABD,Costa-Gavras,Dram  Gerilim  Suç,Music Box
Bom Yeoreum Gaeul Gyeoul Geurigo Bom – İlkbahar Yaz Sonbahar Kış ve İlkbahar,103 Dakika,2003,Almanya  Güney Kore,Kim Ki-duk,Dram  Romantik,Spring Summer Fall Winter and Spring
Frank,95 Dakika,2014,Birleşik Krallık  İrlanda,Lenny Abrahamson,Dram  Komedi  Müzik,Frank
The Skeleton Key – İskelet Anahtar,103 Dakika,2005,ABD  Almanya,Iain Softley,Dram  Gerilim  Gizem  Korku,The Skeleton Key
Sibiriada – Sibirya’dan,305 Dakika,1979,SSCB,Andrei Konchalovsky,Dram  Romantik  Savaş  Tarih,Siberiade
Maryland – Darmadağın,98 Dakika,2015,Belçika  Fransa,Alice Winocour,Dram  Gerilim,Maryland
Rundskop – Taş Kafa,129 Dakika,2011,Belçika,Michaël R. Roskam,Dram  Suç,Bullhead
Lauf Junge Lauf,112 Dakika,2013,Almanya  Fransa  Polonya,Pepe Danquart,Aksiyon  Biyografi  Dram  Savaş,Run Boy Run
Dheepan,115 Dakika,2015,Fransa,Jacques Audiard,Dram  Suç,Dheepan
The Commuter – Yolcu,105 Dakika,2018,ABD  Birleşik Krallık  Fransa,Jaume Collet-Serra,Aksiyon  Dram  Gerilim  Gizem  Suç,The Commuter
The Kissing Booth – Delidolu,105 Dakika,2018,Birleşik Krallık,Vince Marcello,Komedi  Romantik,The Kissing Booth
Death Wish – Öldürme Arzusu,107 Dakika,2018,ABD,Eli Roth,Aksiyon  Dram  Gerilim  Suç,Death Wish
Set It Up – Patronlara Tuzak,105 Dakika,2018,ABD,Claire Scanlon,Komedi  Romantik,Set It Up
Izgnanie – Sürgün,157 Dakika,2008,Rusya,Andrey Zvyagintsev,Dram,The Banishment
Utomlennye Solntsem – Güneş Yanığı,135 Dakika,1994,Almanya  Fransa  Rusya,Nikita Mikhalkov,Dram  Savaş,Burnt by the Sun
Manderlay,139 Dakika,2005,Almanya  Birleşik Krallık  Danimarka  Fransa  Hollanda  İsveç  İtalya,Lars von Trier,Dram,Manderlay
Dogville,178 Dakika,2003,Almanya  Birleşik Krallık  Danimarka  Fransa  Hollanda  İsveç,Lars von Trier,Dram  Suç,Dogville
Martyrs – İşkence Odası,99 Dakika,2008,Fransa  Kanada,Pascal Laugier,Korku,Martyrs
Sous Le Sable – Kumun Altında,92 Dakika,2000,Fransa,François Ozon,Dram  Gizem,Under the Sand
Pi,84 Dakika,1998,ABD,Darren Aronofsky,Bilim Kurgu  Dram  Gerilim  Gizem  Korku,Pi
Mustang,97 Dakika,2015,Almanya  Fransa  Katar  Türkiye,Deniz Gamze Ergüven,Dram,Mustang
Out in the Dark,96 Dakika,2012,ABD  İsrail,Michael Mayer,Dram  Gerilim  Romantik,Out in the Dark
12,159 Dakika,2007,Rusya,Nikita Mikhalkov,Dram  Gerilim  Savaş  Suç,12
Un Heureux Evénement – Aramızda Bebek Var,107 Dakika,2011,Belçika  Fransa,Rémi Bezançon,Dram  Komedi,A Happy Event
La Pianiste – Piyanist,131 Dakika,2001,Almanya  Avusturya  Fransa,Michael Haneke,Dram  Müzik,The Piano Teacher
Rasskazy,105 Dakika,2012,Rusya,Mikhail Segal,Dram  Gizem  Komedi,Rasskazy
Snowtown,119 Dakika,2011,Avustralya,Justin Kurzel,Biyografi  Dram  Suç,Snowtown
Wild Child,98 Dakika,2008,ABD  Birleşik Krallık  Fransa,Nick Moore,Dram  Komedi  Romantik,Wild Child
L’enfant Sauvage – Vahşi Genç,83 Dakika,1970,Fransa,François Truffaut,Dram,The Wild Child
The Squid and the Whale – Mürekkep Balığı ve Balina,81 Dakika,2005,ABD,Noah Baumbach,Dram  Komedi,The Squid and the Whale
The Tree of Life – Hayat Ağacı,139 Dakika,2011,ABD,Terrence Malick,Dram  Fantastik,The Tree of Life
Çıngıraklı Top,98 Dakika,2009,Türkiye,Egemen Ertürk,Komedi,Çıngıraklı Top
L’enfant – Çocuk,95 Dakika,2005,Belçika  Fransa,Jean-Pierre Dardenne,Dram  Romantik  Suç,The Child
13 Going on 30 – Keşke 30 Olsam,98 Dakika,2004,ABD,Gary Winick,Fantastik  Komedi  Romantik,13 Going on 30
Dead End – Ölüm Çıkmazı,85 Dakika,2003,ABD  Fransa,Jean-Baptiste Andrea,Gerilim  Gizem  Korku  Macera,Dead End
De Rouille et D’os – Pas ve Kemik,120 Dakika,2012,Belçika  Fransa,Jacques Audiard,Dram  Romantik,Rust and Bone
Blazing Saddles – Gümüş Eyerler,93 Dakika,1974,ABD,Mel Brooks,Komedi  Western,Blazing Saddles
Doghouse,89 Dakika,2009,Birleşik Krallık,Jake West,Bilim Kurgu  Komedi  Korku,Doghouse
The Babadook – Karabasan,93 Dakika,2014,Avustralya  Kanada,Jennifer Kent,Dram  Korku,The Babadook
The Faculty – Fakülte,104 Dakika,1998,ABD,Robert Rodriguez,Bilim Kurgu  Korku,The Faculty
De Battre Mon Coeur S’est Arrêté – Kalbim Bir An Durdu,108 Dakika,2005,Fransa,Jacques Audiard,Dram  Müzik  Suç,The Beat That My Heart Skipped
Sur Mes Lèvres – Dudaklarımı Oku,115 Dakika,2001,Fransa,Jacques Audiard,Dram  Gerilim  Romantik  Suç,Read My Lips
She’s Funny That Way – İlişki Durumu: Kaçamak,93 Dakika,2014,ABD  Almanya,Peter Bogdanovich,Komedi,She's Funny That Way
You’re Not You – Sen Sen Değilsin,102 Dakika,2014,ABD,George C. Wolfe,Dram,You're Not You
Dance of the Vampires – Vampirlerin Dansı,108 Dakika,1967,ABD  Birleşik Krallık,Roman Polanski,Komedi  Korku,The Fearless Vampire Killers
All the President’s Men – Başkanın Bütün Adamları,138 Dakika,1976,ABD,Alan J. Pakula,Biyografi  Dram  Gerilim  Tarih,All the President's Men
The Parallax View – Parallax Esrarı,102 Dakika,1974,ABD,Alan J. Pakula,Dram  Gerilim,The Parallax View
The Invisible War – Görünmez Savaş,93 Dakika,2012,ABD,Kirby Dick,Belgesel  Suç,The Invisible War
Un Prophète – Yeraltı Peygamberi,155 Dakika,2009,Fransa  İtalya,Jacques Audiard,Dram  Suç,A Prophet
Her Şeyim Sensin,90 Dakika,1985,Türkiye,Ümit Efekan,Dram,Herşeyim Sensin
Chocolat – Çikolata,121 Dakika,2000,ABD  Birleşik Krallık,Lasse Hallström,Dram  Romantik,Chocolat
Speak – Konuş Benimle,89 Dakika,2004,ABD,Jessica Sharzer,Dram,Speak
A Dangerous Method – Tehlikeli İlişki,99 Dakika,2011,Almanya  Birleşik Krallık  İsviçre  Kanada,David Cronenberg,Biyografi  Dram  Gerilim  Romantik,A Dangerous Method
12 Angry Men – 12 Kızgın Adam,96 Dakika,1957,ABD,Sidney Lumet,Dram  Suç,12 Angry Men
The Uninvited – Davetsiz,87 Dakika,2009,ABD,Charles Guard,Dram  Gerilim  Gizem  Korku,The Uninvited
Bir Tuğra Kaftancıoğlu Filmi,85 Dakika,2007,Türkiye,Emre Akay,Macera,Bir Tuğra Kaftancıoğlu Filmi
1408,104 Dakika,2007,ABD,Mikael Håfström,Dram  Korku,1408
Yurt,76 Dakika,2011,Türkiye,Muzaffer Özdemir,Dram,Yurt
Toz Ruhu,95 Dakika,2014,Türkiye,Nesimi Yetik,Dram,Toz Ruhu
Adab-ı Muaşeret,95 Dakika,2009,Türkiye,Emre Akay,Komedi  Romantik,Adab-ı Muaşeret
Son Ders: Aşk ve Üniversite,96 Dakika,2008,Türkiye,Mustafa Uğur Yağcıoğlu,Dram  Komedi,Son Ders  Aşk ve Üniversite
Missing – Kayıp,122 Dakika,1982,ABD,Costa-Gavras,Biyografi  Dram  Gerilim  Gizem  Tarih,Missing
Le Couperet – Ölümcül Çözüm,117 Dakika,2005,Belçika  Fransa  İspanya,Costa-Gavras,Dram  Gerilim  Komedi  Suç,The Ax
An Education – Aşk Dersi,100 Dakika,2009,ABD  Birleşik Krallık,Lone Scherfig,Dram,An Education
Suspiria,98 Dakika,1977,İtalya,Dario Argento,Korku,Suspiria
Fathers & Daughters – Babalar ve Kızları,116 Dakika,2015,ABD  İtalya,Gabriele Muccino,Dram,Fathers and Daughters
Hungry Hearts – Aç Kalpler,109 Dakika,2015,İtalya,Saverio Costanzo,Dram  Gerilim,Hungry Hearts
T2 Trainspotting,117 Dakika,2017,Birleşik Krallık,Danny Boyle,Dram,T2 Trainspotting
Trainspotting,94 Dakika,1996,Birleşik Krallık,Danny Boyle,Dram,Trainspotting
Smultronstället – Yaban Çilekleri,91 Dakika,1957,İsveç,Ingmar Bergman,Dram  Romantik,Wild Strawberries
Primal Fear – İlk Korku,129 Dakika,1996,ABD,Gregory Hoblit,Dram  Gerilim  Gizem  Suç,Primal Fear
Sex Drive – Skor Peşinde,109 Dakika,2008,ABD,Sean Anders,Komedi  Macera  Romantik,Sex Drive
August: Osage County – Aile Sırları,121 Dakika,2013,ABD,John Wells,Dram,August  Osage County
Santa Sangre – Kutsal Kan,123 Dakika,1989,Meksika,Alejandro Jodorowsky,Dram  Fantastik  Gerilim  Korku,Santa sangre
Mystery Train – Gizem Treni,110 Dakika,1989,ABD  Japonya,Jim Jarmusch,Dram  Komedi  Suç,Mystery Train
Caché – Saklı,117 Dakika,2005,ABD  Almanya  Avusturya  Fransa  İtalya,Michael Haneke,Dram  Gerilim  Gizem,Hidden
Only Lovers Left Alive – Sadece Aşıklar Hayatta Kalır,123 Dakika,2013,Almanya  Birleşik Krallık  Fransa  Yunanistan,Jim Jarmusch,Dram  Fantastik  Komedi  Korku  Romantik,Only Lovers Left Alive
The Institute,90 Dakika,2017,ABD,James Franco,Gerilim,The Institute
Eden,98 Dakika,2012,ABD,Megan Griffiths,Dram  Suç,Eden
St. Vincent – Benim Komşum Bir Melek,102 Dakika,2014,ABD,Theodore Melfi,Dram  Komedi,St. Vincent
Killer Joe – Katil Joe,102 Dakika,2011,ABD,William Friedkin,Dram  Gerilim  Suç,Killer Joe
Hidden,84 Dakika,2015,ABD,Matt Duffer,Gerilim  Korku,Hidden
Red Road – Kırmızı Sokak,113 Dakika,2006,Birleşik Krallık  Danimarka,Andrea Arnold,Dram  Gerilim  Gizem,Red Road
Do Começo ao Fim,94 Dakika,2009,Brezilya,Aluizio Abranches,Dram  Romantik,From Beginning to End
Get the Gringo,96 Dakika,2012,ABD,Adrian Grunberg,Aksiyon  Dram  Gerilim  Suç,Get the Gringo
Esteros,83 Dakika,2016,Arjantin  Brezilya  Fransa,Papu Curotto,Dram  Romantik,Esteros
L’écume Des Jours – Günlerin Köpüğü,131 Dakika,2013,Fransa,Michel Gondry,Dram  Fantastik  Komedi  Romantik,Mood Indıgo
Broken Flowers – Kırık Çiçekler,106 Dakika,2005,ABD  Fransa,Jim Jarmusch,Dram  Gizem  Komedi  Romantik,Broken Flowers
Anna,99 Dakika,2013,ABD  Birleşik Krallık  Fransa  İspanya,Jorge Dorado,Bilim Kurgu  Dram  Gerilim  Gizem,Mindscape
Side Effects – Acı Reçete,106 Dakika,2013,ABD,Steven Soderbergh,Dram  Gerilim  Gizem  Suç,Side Effects
Drinking Buddies – Akşamdan Kalanlar,90 Dakika,2013,ABD,Joe Swanberg,Dram  Komedi  Romantik,Drinking Buddies
Road Trip – Geyik Muhabbeti,93 Dakika,2000,ABD,Todd Phillips,Komedi  Macera,Road Trip
Noces,98 Dakika,2017,Belçika  Fransa  Lüksemburg,Stephan Streker,Dram,A Wedding
Arbitrage – Entrika,107 Dakika,2012,ABD,Nicholas Jarecki,Dram  Gerilim,Arbitrage
Blood Diamond – Kanlı Elmas,143 Dakika,2006,ABD  Almanya,Edward Zwick,Dram  Gerilim  Macera,Blood Diamond
Vozvrashchenie – Dönüş,110 Dakika,2003,Rusya,Andrey Zvyagintsev,Dram  Gerilim  Gizem,The Return
Les Quatre Cents Coups – 400 Darbe,99 Dakika,1959,Fransa,François Truffaut,Dram  Suç,The 400 Blows
Frantz,113 Dakika,2016,Almanya  Fransa,François Ozon,Dram  Romantik  Savaş  Tarih,Frantz
L’aveu – İtiraf,139 Dakika,1970,Fransa  İtalya,Costa-Gavras,Dram  Gerilim  Tarih,L'aveu
État de Siège – Sıkıyönetim,120 Dakika,1972,Almanya  Fransa  İtalya,Costa-Gavras,Dram  Gerilim,State of Siege
Money as Debt,47 Dakika,2006,Kanada,Paul Grignon,Animasyon  Belgesel,Money as Debt
The Revenant – Diriliş,156 Dakika,2015,ABD  Hong Kong  Kanada  Tayvan,Alejandro González Iñárritu,Dram  Gerilim  Macera  Tarih  Western,The Revenant
The Stoning of Soraya M. – Soraya’yı Taşlamak,114 Dakika,2009,ABD,Cyrus Nowrasteh,Dram,The Stoning of Soraya M.
Wristcutters: A Love Story – Bilek Kesenler: Bir Aşk Hikayesi,88 Dakika,2006,ABD  Birleşik Krallık,Goran Dukić,Dram  Fantastik  Komedi  Romantik,Wristcutters  A Love Story
Colossal,109 Dakika,2016,İspanya  Kanada,Nacho Vigalondo,Aksiyon  Bilim Kurgu  Dram  Fantastik  Komedi,Colossal
Sr. Pig,100 Dakika,2016,Meksika,Diego Luna,Dram,Sr. Pig
